,id,Pro_Code,Reg_Name,Pro_Name,water,food,shelter,health,education,work,peace,participation,protect,environment
76,76,137400000,NATIONAL CAPITAL REGION (NCR),"NCR, SECOND DISTRICT",10.99659048,,10.40808999,71.08664742,8.497870527,53.25563667,6.873307724,98.99821948,95.84953639,38.12231957
77,77,137500000,NATIONAL CAPITAL REGION (NCR),"NCR, THIRD DISTRICT",20.81545786,,9.290556553,69.35517011,8.591161273,53.27783395,4.476028266,98.7980843,96.40237104,32.93278805
78,78,137600000,NATIONAL CAPITAL REGION (NCR),"NCR, FOURTH DISTRICT",19.9428674,,9.716132613,67.95917415,8.341987958,52.32832251,4.289515352,98.58861239,95.31721472,36.50932077
79,79,142700000,CORDILLERA ADMINISTRATIVE REGION (CAR),IFUGAO,12.87304136,83.31874107,1.168263108,32.3811157,8.765892613,36.563491,1.890814462,87.27823197,99.07498035,10.45814708
80,80,144400000,CORDILLERA ADMINISTRATIVE REGION (CAR),MOUNTAIN PROVINCE,8.921327392,60.38074713,0.731528895,52.35223247,7.33050029,37.97116276,0.558622066,89.17867027,98.66841955,8.398703822
81,81,174000000,REGION IV-B (MIMAROPA),MARINDUQUE,12.17016271,40.36303931,1.842775926,43.71781601,5.955268122,46.73321872,36.73789453,87.59858987,97.72479884,9.578096971
82,82,12800000,REGION I (ILOCOS REGION),ILOCOS NORTE,31.5851272,73.28965739,1.482506802,53.15770679,6.425584144,44.65313541,1.584649897,88.4447908,98.05955971,13.75410416
83,83,20900000,REGION II (CAGAYAN VALLEY),BATANES,0.748396294,16.29213483,0.392017106,62.07567934,2.065404475,36.87197068,0.605844619,93.3839731,99.21556323,13.60086321
84,84,140100000,CORDILLERA ADMINISTRATIVE REGION (CAR),ABRA,14.67829488,16.8365941,1.305180809,55.53794651,6.983311393,46.47588079,0.602698172,88.59842959,98.47328879,9.108443924
85,85,143200000,CORDILLERA ADMINISTRATIVE REGION (CAR),KALINGA,15.27745121,65.06255137,1.543028451,53.45391055,5.986936676,39.90096915,1.569480367,90.48736185,98.96362509,13.05427538
86,86,148100000,CORDILLERA ADMINISTRATIVE REGION (CAR),APAYAO,38.68702162,42.22363675,2.628480108,62.12735166,8.896471372,42.30033477,1.118681134,85.41952142,99.0746415,9.717868682
